source,target,material_shape,material_type,material_coating,value,material
fabrication:hot rolled bar:Infrastructure,manufacturing:Infrastructure,bar,hot rolled steel,none,0.9,bar_hot rolled steel_none
fabrication:hot rolled bar:Infrastructure,scrap:Infrastructure,scrap,unknown,none,0.09999999999999998,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,0.09999999999999998,scrap_unknown_none
hot rolled bar,fabrication:hot rolled bar:Cars,bar,hot rolled steel,none,14.2,bar_hot rolled steel_none
fabrication:hot rolled bar:Cars,manufacturing:Cars,bar,hot rolled steel,none,11.4,bar_hot rolled steel_none
fabrication:hot rolled bar:Cars,scrap:Cars,scrap,unknown,none,2.799999999999999,scrap_unknown_none
scrap:Cars,fabrication scrap collection,scrap,unknown,none,2.799999999999999,scrap_unknown_none
hot rolled bar,fabrication:hot rolled bar:Trucks,bar,hot rolled steel,none,3.3,bar_hot rolled steel_none
fabrication:hot rolled bar:Trucks,manufacturing:Trucks,bar,hot rolled steel,none,2.7,bar_hot rolled steel_none
fabrication:hot rolled bar:Trucks,scrap:Trucks,scrap,unknown,none,0.5999999999999996,scrap_unknown_none
scrap:Trucks,fabrication scrap collection,scrap,unknown,none,0.5999999999999996,scrap_unknown_none
hot rolled bar,fabrication:hot rolled bar:Ships + other,bar,hot rolled steel,none,1.2,bar_hot rolled steel_none
fabrication:hot rolled bar:Ships + other,manufacturing:Ships + other,bar,hot rolled steel,none,0.9,bar_hot rolled steel_none
fabrication:hot rolled bar:Ships + other,scrap:Ships + other,scrap,unknown,none,0.29999999999999993,scrap_unknown_none
scrap:Ships + other,fabrication scrap collection,scrap,unknown,none,0.29999999999999993,scrap_unknown_none
hot rolled bar,fabrication:hot rolled bar:Mechanical equipment,bar,hot rolled steel,none,41.4,bar_hot rolled steel_none
fabrication:hot rolled bar:Mechanical equipment,manufacturing:Mechanical equipment,bar,hot rolled steel,none,33.1,bar_hot rolled steel_none
fabrication:hot rolled bar:Mechanical equipment,scrap:Mechanical equipment,scrap,unknown,none,8.299999999999997,scrap_unknown_none
scrap:Mechanical equipment,fabrication scrap collection,scrap,unknown,none,8.299999999999997,scrap_unknown_none
hot rolled bar,fabrication:hot rolled bar:Electrical equipment,bar,hot rolled steel,none,3.8,bar_hot rolled steel_none
fabrication:hot rolled bar:Electrical equipment,manufacturing:Electrical equipment,bar,hot rolled steel,none,3.0,bar_hot rolled steel_none
fabrication:hot rolled bar:Electrical equipment,scrap:Electrical equipment,scrap,unknown,none,0.7999999999999998,scrap_unknown_none
scrap:Electrical equipment,fabrication scrap collection,scrap,unknown,none,0.7999999999999998,scrap_unknown_none
hot rolled bar,fabrication:hot rolled bar:Metal goods,bar,hot rolled steel,none,41.6,bar_hot rolled steel_none
fabrication:hot rolled bar:Metal goods,manufacturing:Metal goods,bar,hot rolled steel,none,29.1,bar_hot rolled steel_none
fabrication:hot rolled bar:Metal goods,scrap:Metal goods,scrap,unknown,none,12.5,scrap_unknown_none
scrap:Metal goods,fabrication scrap collection,scrap,unknown,none,12.5,scrap_unknown_none
hot rolled coil,fabrication:hot rolled coil:Buildings,coil,hot rolled steel,none,74.7,coil_hot rolled steel_none
fabrication:hot rolled coil:Buildings,manufacturing:Buildings,coil,hot rolled steel,none,67.2,coil_hot rolled steel_none
fabrication:hot rolled coil:Buildings,scrap:Buildings,scrap,unknown,none,7.5,scrap_unknown_none
scrap:Buildings,fabrication scrap collection,scrap,unknown,none,7.5,scrap_unknown_none
hot rolled coil,fabrication:hot rolled coil:Infrastructure,coil,hot rolled steel,none,23.6,coil_hot rolled steel_none
fabrication:hot rolled coil:Infrastructure,manufacturing:Infrastructure,coil,hot rolled steel,none,21.2,coil_hot rolled steel_none
fabrication:hot rolled coil:Infrastructure,scrap:Infrastructure,scrap,unknown,none,2.400000000000002,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,2.400000000000002,scrap_unknown_none
hot rolled coil,fabrication:hot rolled coil:Trucks,coil,hot rolled steel,none,7.3,coil_hot rolled steel_none
fabrication:hot rolled coil:Trucks,manufacturing:Trucks,coil,hot rolled steel,none,5.9,coil_hot rolled steel_none
fabrication:hot rolled coil:Trucks,scrap:Trucks,scrap,unknown,none,1.3999999999999995,scrap_unknown_none
scrap:Trucks,fabrication scrap collection,scrap,unknown,none,1.3999999999999995,scrap_unknown_none
hot rolled coil,fabrication:hot rolled coil:Mechanical equipment,coil,hot rolled steel,none,35.0,coil_hot rolled steel_none
fabrication:hot rolled coil:Mechanical equipment,manufacturing:Mechanical equipment,coil,hot rolled steel,none,28.0,coil_hot rolled steel_none
fabrication:hot rolled coil:Mechanical equipment,scrap:Mechanical equipment,scrap,unknown,none,7.0,scrap_unknown_none
scrap:Mechanical equipment,fabrication scrap collection,scrap,unknown,none,7.0,scrap_unknown_none
hot rolled coil,fabrication:hot rolled coil:Electrical equipment,coil,hot rolled steel,none,2.0,coil_hot rolled steel_none
fabrication:hot rolled coil:Electrical equipment,manufacturing:Electrical equipment,coil,hot rolled steel,none,1.6,coil_hot rolled steel_none
fabrication:hot rolled coil:Electrical equipment,scrap:Electrical equipment,scrap,unknown,none,0.3999999999999999,scrap_unknown_none
scrap:Electrical equipment,fabrication scrap collection,scrap,unknown,none,0.3999999999999999,scrap_unknown_none
hot rolled coil,fabrication:hot rolled coil:Metal goods,coil,hot rolled steel,none,7.4,coil_hot rolled steel_none
fabrication:hot rolled coil:Metal goods,manufacturing:Metal goods,coil,hot rolled steel,none,5.5,coil_hot rolled steel_none
fabrication:hot rolled coil:Metal goods,scrap:Metal goods,scrap,unknown,none,1.9000000000000004,scrap_unknown_none
scrap:Metal goods,fabrication scrap collection,scrap,unknown,none,1.9000000000000004,scrap_unknown_none
light sections,fabrication:light sections:Buildings,light sections,hot rolled steel,none,33.8,light sections_hot rolled steel_none
fabrication:light sections:Buildings,manufacturing:Buildings,light sections,hot rolled steel,none,32.1,light sections_hot rolled steel_none
fabrication:light sections:Buildings,scrap:Buildings,scrap,unknown,none,1.6999999999999957,scrap_unknown_none
scrap:Buildings,fabrication scrap collection,scrap,unknown,none,1.6999999999999957,scrap_unknown_none
light sections,fabrication:light sections:Infrastructure,light sections,hot rolled steel,none,10.7,light sections_hot rolled steel_none
fabrication:light sections:Infrastructure,manufacturing:Infrastructure,light sections,hot rolled steel,none,10.1,light sections_hot rolled steel_none
fabrication:light sections:Infrastructure,scrap:Infrastructure,scrap,unknown,none,0.5999999999999996,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,0.5999999999999996,scrap_unknown_none
plate,fabrication:plate:Buildings,plate,hot rolled steel,none,4.7,plate_hot rolled steel_none
fabrication:plate:Buildings,manufacturing:Buildings,plate,hot rolled steel,none,4.2,plate_hot rolled steel_none
fabrication:plate:Buildings,scrap:Buildings,scrap,unknown,none,0.5,scrap_unknown_none
scrap:Buildings,fabrication scrap collection,scrap,unknown,none,0.5,scrap_unknown_none
plate,fabrication:plate:Infrastructure,plate,hot rolled steel,none,1.5,plate_hot rolled steel_none
fabrication:plate:Infrastructure,manufacturing:Infrastructure,plate,hot rolled steel,none,1.3,plate_hot rolled steel_none
fabrication:plate:Infrastructure,scrap:Infrastructure,scrap,unknown,none,0.19999999999999996,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,0.19999999999999996,scrap_unknown_none
plate,fabrication:plate:Ships + other,plate,hot rolled steel,none,33.5,plate_hot rolled steel_none
fabrication:plate:Ships + other,manufacturing:Ships + other,plate,hot rolled steel,none,26.8,plate_hot rolled steel_none
fabrication:plate:Ships + other,scrap:Ships + other,scrap,unknown,none,6.699999999999999,scrap_unknown_none
scrap:Ships + other,fabrication scrap collection,scrap,unknown,none,6.699999999999999,scrap_unknown_none
plate,fabrication:plate:Mechanical equipment,plate,hot rolled steel,none,33.2,plate_hot rolled steel_none
fabrication:plate:Mechanical equipment,manufacturing:Mechanical equipment,plate,hot rolled steel,none,26.6,plate_hot rolled steel_none
fabrication:plate:Mechanical equipment,scrap:Mechanical equipment,scrap,unknown,none,6.600000000000001,scrap_unknown_none
scrap:Mechanical equipment,fabrication scrap collection,scrap,unknown,none,6.600000000000001,scrap_unknown_none
plate,fabrication:plate:Electrical equipment,plate,hot rolled steel,none,3.8,plate_hot rolled steel_none
fabrication:plate:Electrical equipment,manufacturing:Electrical equipment,plate,hot rolled steel,none,3.0,plate_hot rolled steel_none
fabrication:plate:Electrical equipment,scrap:Electrical equipment,scrap,unknown,none,0.7999999999999998,scrap_unknown_none
scrap:Electrical equipment,fabrication scrap collection,scrap,unknown,none,0.7999999999999998,scrap_unknown_none
plate,fabrication:plate:Metal goods,plate,hot rolled steel,none,33.4,plate_hot rolled steel_none
fabrication:plate:Metal goods,manufacturing:Metal goods,plate,hot rolled steel,none,25.1,plate_hot rolled steel_none
fabrication:plate:Metal goods,scrap:Metal goods,scrap,unknown,none,8.299999999999997,scrap_unknown_none
scrap:Metal goods,fabrication scrap collection,scrap,unknown,none,8.299999999999997,scrap_unknown_none
rail,fabrication:rail:Infrastructure,rail,hot rolled steel,none,9.0,rail_hot rolled steel_none
fabrication:rail:Infrastructure,manufacturing:Infrastructure,rail,hot rolled steel,none,8.5,rail_hot rolled steel_none
fabrication:rail:Infrastructure,scrap:Infrastructure,scrap,unknown,none,0.5,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,0.5,scrap_unknown_none
rail,fabrication:rail:Mechanical equipment,rail,hot rolled steel,none,1.0,rail_hot rolled steel_none
fabrication:rail:Mechanical equipment,manufacturing:Mechanical equipment,rail,hot rolled steel,none,0.9,rail_hot rolled steel_none
fabrication:rail:Mechanical equipment,scrap:Mechanical equipment,scrap,unknown,none,0.09999999999999998,scrap_unknown_none
scrap:Mechanical equipment,fabrication scrap collection,scrap,unknown,none,0.09999999999999998,scrap_unknown_none
reinforcing bar,fabrication:reinforcing bar:Buildings,reinforcing bar,hot rolled steel,none,92.0,reinforcing bar_hot rolled steel_none
fabrication:reinforcing bar:Buildings,manufacturing:Buildings,reinforcing bar,hot rolled steel,none,87.4,reinforcing bar_hot rolled steel_none
fabrication:reinforcing bar:Buildings,scrap:Buildings,scrap,unknown,none,4.599999999999994,scrap_unknown_none
scrap:Buildings,fabrication scrap collection,scrap,unknown,none,4.599999999999994,scrap_unknown_none
reinforcing bar,fabrication:reinforcing bar:Infrastructure,reinforcing bar,hot rolled steel,none,81.6,reinforcing bar_hot rolled steel_none
fabrication:reinforcing bar:Infrastructure,manufacturing:Infrastructure,reinforcing bar,hot rolled steel,none,77.5,reinforcing bar_hot rolled steel_none
fabrication:reinforcing bar:Infrastructure,scrap:Infrastructure,scrap,unknown,none,4.099999999999994,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,4.099999999999994,scrap_unknown_none
seamless tube,fabrication:seamless tube:Buildings,seamless tube,cold rolled steel,none,13.2,seamless tube_cold rolled steel_none
fabrication:seamless tube:Buildings,manufacturing:Buildings,seamless tube,cold rolled steel,none,12.5,seamless tube_cold rolled steel_none
fabrication:seamless tube:Buildings,scrap:Buildings,scrap,unknown,none,0.6999999999999993,scrap_unknown_none
scrap:Buildings,fabrication scrap collection,scrap,unknown,none,0.6999999999999993,scrap_unknown_none
seamless tube,fabrication:seamless tube:Infrastructure,seamless tube,cold rolled steel,none,4.2,seamless tube_cold rolled steel_none
fabrication:seamless tube:Infrastructure,manufacturing:Infrastructure,seamless tube,cold rolled steel,none,4.0,seamless tube_cold rolled steel_none
fabrication:seamless tube:Infrastructure,scrap:Infrastructure,scrap,unknown,none,0.20000000000000018,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,0.20000000000000018,scrap_unknown_none
seamless tube,fabrication:seamless tube:Cars,seamless tube,cold rolled steel,none,4.6,seamless tube_cold rolled steel_none
fabrication:seamless tube:Cars,manufacturing:Cars,seamless tube,cold rolled steel,none,4.4,seamless tube_cold rolled steel_none
fabrication:seamless tube:Cars,scrap:Cars,scrap,unknown,none,0.1999999999999993,scrap_unknown_none
scrap:Cars,fabrication scrap collection,scrap,unknown,none,0.1999999999999993,scrap_unknown_none
seamless tube,fabrication:seamless tube:Trucks,seamless tube,cold rolled steel,none,0.5,seamless tube_cold rolled steel_none
fabrication:seamless tube:Trucks,manufacturing:Trucks,seamless tube,cold rolled steel,none,0.5,seamless tube_cold rolled steel_none
seamless tube,fabrication:seamless tube:Ships + other,seamless tube,cold rolled steel,none,0.8,seamless tube_cold rolled steel_none
fabrication:seamless tube:Ships + other,manufacturing:Ships + other,seamless tube,cold rolled steel,none,0.8,seamless tube_cold rolled steel_none
seamless tube,fabrication:seamless tube:Mechanical equipment,seamless tube,cold rolled steel,none,3.3,seamless tube_cold rolled steel_none
fabrication:seamless tube:Mechanical equipment,manufacturing:Mechanical equipment,seamless tube,cold rolled steel,none,3.2,seamless tube_cold rolled steel_none
fabrication:seamless tube:Mechanical equipment,scrap:Mechanical equipment,scrap,unknown,none,0.09999999999999964,scrap_unknown_none
scrap:Mechanical equipment,fabrication scrap collection,scrap,unknown,none,0.09999999999999964,scrap_unknown_none
seamless tube,fabrication:seamless tube:Electrical equipment,seamless tube,cold rolled steel,none,0.7,seamless tube_cold rolled steel_none
fabrication:seamless tube:Electrical equipment,manufacturing:Electrical equipment,seamless tube,cold rolled steel,none,0.7,seamless tube_cold rolled steel_none
seamless tube,fabrication:seamless tube:Metal goods,seamless tube,cold rolled steel,none,0.3,seamless tube_cold rolled steel_none
fabrication:seamless tube:Metal goods,manufacturing:Metal goods,seamless tube,cold rolled steel,none,0.3,seamless tube_cold rolled steel_none
welded tube,fabrication:welded tube:Buildings,welded tube,cold rolled steel,none,14.1,welded tube_cold rolled steel_none
fabrication:welded tube:Buildings,manufacturing:Buildings,welded tube,cold rolled steel,none,13.4,welded tube_cold rolled steel_none
fabrication:welded tube:Buildings,scrap:Buildings,scrap,unknown,none,0.6999999999999993,scrap_unknown_none
scrap:Buildings,fabrication scrap collection,scrap,unknown,none,0.6999999999999993,scrap_unknown_none
welded tube,fabrication:welded tube:Infrastructure,welded tube,cold rolled steel,none,25.0,welded tube_cold rolled steel_none
fabrication:welded tube:Infrastructure,manufacturing:Infrastructure,welded tube,cold rolled steel,none,23.8,welded tube_cold rolled steel_none
fabrication:welded tube:Infrastructure,scrap:Infrastructure,scrap,unknown,none,1.1999999999999993,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,1.1999999999999993,scrap_unknown_none
welded tube,fabrication:welded tube:Trucks,welded tube,cold rolled steel,none,0.5,welded tube_cold rolled steel_none
fabrication:welded tube:Trucks,manufacturing:Trucks,welded tube,cold rolled steel,none,0.5,welded tube_cold rolled steel_none
welded tube,fabrication:welded tube:Ships + other,welded tube,cold rolled steel,none,0.8,welded tube_cold rolled steel_none
fabrication:welded tube:Ships + other,manufacturing:Ships + other,welded tube,cold rolled steel,none,0.8,welded tube_cold rolled steel_none
welded tube,fabrication:welded tube:Mechanical equipment,welded tube,cold rolled steel,none,17.5,welded tube_cold rolled steel_none
fabrication:welded tube:Mechanical equipment,manufacturing:Mechanical equipment,welded tube,cold rolled steel,none,16.6,welded tube_cold rolled steel_none
fabrication:welded tube:Mechanical equipment,scrap:Mechanical equipment,scrap,unknown,none,0.8999999999999986,scrap_unknown_none
scrap:Mechanical equipment,fabrication scrap collection,scrap,unknown,none,0.8999999999999986,scrap_unknown_none
welded tube,fabrication:welded tube:Electrical equipment,welded tube,cold rolled steel,none,3.7,welded tube_cold rolled steel_none
fabrication:welded tube:Electrical equipment,manufacturing:Electrical equipment,welded tube,cold rolled steel,none,3.6,welded tube_cold rolled steel_none
fabrication:welded tube:Electrical equipment,scrap:Electrical equipment,scrap,unknown,none,0.10000000000000009,scrap_unknown_none
scrap:Electrical equipment,fabrication scrap collection,scrap,unknown,none,0.10000000000000009,scrap_unknown_none
welded tube,fabrication:welded tube:Metal goods,welded tube,cold rolled steel,none,0.7,welded tube_cold rolled steel_none
fabrication:welded tube:Metal goods,manufacturing:Metal goods,welded tube,cold rolled steel,none,0.7,welded tube_cold rolled steel_none
wire rod,fabrication:wire rod:Buildings,wire rod,hot rolled steel,none,43.1,wire rod_hot rolled steel_none
fabrication:wire rod:Buildings,manufacturing:Buildings,wire rod,hot rolled steel,none,40.9,wire rod_hot rolled steel_none
fabrication:wire rod:Buildings,scrap:Buildings,scrap,unknown,none,2.200000000000003,scrap_unknown_none
scrap:Buildings,fabrication scrap collection,scrap,unknown,none,2.200000000000003,scrap_unknown_none
wire rod,fabrication:wire rod:Infrastructure,wire rod,hot rolled steel,none,38.2,wire rod_hot rolled steel_none
fabrication:wire rod:Infrastructure,manufacturing:Infrastructure,wire rod,hot rolled steel,none,36.3,wire rod_hot rolled steel_none
fabrication:wire rod:Infrastructure,scrap:Infrastructure,scrap,unknown,none,1.9000000000000057,scrap_unknown_none
scrap:Infrastructure,fabrication scrap collection,scrap,unknown,none,1.9000000000000057,scrap_unknown_none
wire rod,fabrication:wire rod:Cars,wire rod,hot rolled steel,none,4.9,wire rod_hot rolled steel_none
fabrication:wire rod:Cars,manufacturing:Cars,wire rod,hot rolled steel,none,4.4,wire rod_hot rolled steel_none
fabrication:wire rod:Cars,scrap:Cars,scrap,unknown,none,0.5,scrap_unknown_none
scrap:Cars,fabrication scrap collection,scrap,unknown,none,0.5,scrap_unknown_none
wire rod,fabrication:wire rod:Trucks,wire rod,hot rolled steel,none,4.9,wire rod_hot rolled steel_none
fabrication:wire rod:Trucks,manufacturing:Trucks,wire rod,hot rolled steel,none,4.4,wire rod_hot rolled steel_none
fabrication:wire rod:Trucks,scrap:Trucks,scrap,unknown,none,0.5,scrap_unknown_none
scrap:Trucks,fabrication scrap collection,scrap,unknown,none,0.5,scrap_unknown_none
wire rod,fabrication:wire rod:Ships + other,wire rod,hot rolled steel,none,1.0,wire rod_hot rolled steel_none
fabrication:wire rod:Ships + other,manufacturing:Ships + other,wire rod,hot rolled steel,none,0.9,wire rod_hot rolled steel_none
fabrication:wire rod:Ships + other,scrap:Ships + other,scrap,unknown,none,0.09999999999999998,scrap_unknown_none
scrap:Ships + other,fabrication scrap collection,scrap,unknown,none,0.09999999999999998,scrap_unknown_none
wire rod,fabrication:wire rod:Mechanical equipment,wire rod,hot rolled steel,none,1.5,wire rod_hot rolled steel_none
fabrication:wire rod:Mechanical equipment,manufacturing:Mechanical equipment,wire rod,hot rolled steel,none,1.3,wire rod_hot rolled steel_none
fabrication:wire rod:Mechanical equipment,scrap:Mechanical equipment,scrap,unknown,none,0.19999999999999996,scrap_unknown_none
scrap:Mechanical equipment,fabrication scrap collection,scrap,unknown,none,0.19999999999999996,scrap_unknown_none
wire rod,fabrication:wire rod:Electrical equipment,wire rod,hot rolled steel,none,7.8,wire rod_hot rolled steel_none
fabrication:wire rod:Electrical equipment,manufacturing:Electrical equipment,wire rod,hot rolled steel,none,7.0,wire rod_hot rolled steel_none
fabrication:wire rod:Electrical equipment,scrap:Electrical equipment,scrap,unknown,none,0.7999999999999998,scrap_unknown_none
scrap:Electrical equipment,fabrication scrap collection,scrap,unknown,none,0.7999999999999998,scrap_unknown_none
wire rod,fabrication:wire rod:Metal goods,wire rod,hot rolled steel,none,47.1,wire rod_hot rolled steel_none
fabrication:wire rod:Metal goods,manufacturing:Metal goods,wire rod,hot rolled steel,none,37.7,wire rod_hot rolled steel_none
fabrication:wire rod:Metal goods,scrap:Metal goods,scrap,unknown,none,9.399999999999999,scrap_unknown_none
scrap:Metal goods,fabrication scrap collection,scrap,unknown,none,9.399999999999999,scrap_unknown_none
